statNm,statId,addr,addrDetail,location,useTime,lat,lng,busiId,bnm,busiNm,busiCall,chgerType,output,method,available_chargers,num_chargers,congestion_ratio,working_ratio,statUpdDt,lastTsdt,lastTedt,nowTsdt,zcode,zscode,kind,kindDetail,parkingFree,note,limitYn,limitDetail,delYn,delDetail,trafficYn,year,regionName
성남 더블유스퀘어,AH000018,경기도 성남시 분당구 판교역로226번길 16,더블유스퀘어,,24시간 이용가능,37.4005277,127.1114559,AH,아하,아하(주),15441229,2,7.0,단독,5,5,0.0,1.0,2025-05-13 11:17:49,2025-05-13 09:02:43,2025-05-13 11:17:49,,41,41130,G0,G004,Y,,N,,N,,N,2024,경기도
대구 KC타운,AH000019,대구광역시 수성구 알파시티1로 232,kc타운,,24시간 이용가능,35.838835032,128.6838783,AH,아하,아하(주),15441229,"2,4","50.0,7.0",단독,0,5,1.0,0.0,2025-02-12 16:58:10,,,,27,27260,G0,G004,Y,,N,,N,,N,2024,대구광역시
청주 농어촌공사충북지역본부,AH000020,충청북도 청주시 서원구 1순환로 1053,한국농촌공사충북지역본부,,24시간 이용가능,36.6067297,127.483609,AH,아하,아하(주),15441229,4,50.0,단독,0,1,1.0,1.0,2025-05-15 15:51:44,2025-05-15 15:51:44,2025-05-15 14:36:34,2025-05-15 15:51:44,43,43110,G0,G004,Y,,N,,N,,N,2024,충청북도
충북 삼구인화원,AH000022,충청북도 단양군 어상천면 어상천로 904,,,24시간 이용가능,37.10161524,128.3606466,AH,아하,아하(주),15441229,4,50.0,단독,1,1,0.0,1.0,2025-05-10 23:00:11,2025-05-10 22:30:10,2025-05-10 23:00:11,,43,43800,G0,G004,Y,,N,,N,,N,2024,충청북도
오산 근린생활시설 주차장,AH000023,경기도 오산시 가장산업동로 28-5,,,24시간 이용가능,37.16205693,127.0389774,AH,아하,아하(주),15441229,2,14.0,동시,2,2,0.0,1.0,2025-05-15 12:51:19,2025-05-15 08:05:40,2025-05-15 12:51:19,,41,41370,B0,B002,Y,,N,,N,,N,2024,경기도
대구 퀀텀스크린 골프연습장,AH000024,대구광역시 북구 팔거천동로 396,,,24시간 이용가능,35.95921601,128.5606156,AH,아하,아하(주),15441229,2,14.0,동시,0,4,1.0,0.0,2025-05-13 16:48:10,,,,27,27230,E0,E004,Y,,Y,시설 상황에 따라 이용이 제한될 수있음,N,,N,2024,대구광역시
익산 모현4주차장,AH000025,전북특별자치도 익산시 모현동2가,676,,24시간 이용가능,35.957618,126.938495,AH,아하,(주)아하,15441229,"2,4","100.0,7.0","단독,동시",3,3,0.0,1.0,2025-05-15 00:19:55,2025-05-14 20:34:38,2025-05-15 00:19:55,,52,52140,B0,B001,Y,,N,,N,,N,2024,전북특별자치도
이브이이음 - 현천동,AH000026,경기도 고양시 덕양구 대덕로 236-1,,,24시간 이용가능,37.58899299,126.85865306,AH,아하,아하(주),15441229,"2,4","14.0,50.0",동시,2,6,0.6666666666666667,0.3333333333333333,2025-04-30 08:33:46,,,,41,41280,G0,G004,Y,,N,,N,,N,2024,경기도
용인 케이로지스 양지,AH000028,경기도 용인시 처인구 양지면 중부대로 2465,주차장,,24시간 이용가능,37.23946733,127.3132006,AH,아하,아하(주),15441229,2,7.0,단독,2,2,0.0,1.0,2025-05-15 10:51:01,2025-05-15 07:50:39,2025-05-15 10:51:01,,41,41460,B0,B004,Y,,N,,N,,N,2024,경기도
익산시청 남중동 주차타워 1층,AH000029,전북특별자치도 익산시 선화로45길 7,,,24시간 이용가능,35.94693371,126.9588026,AH,아하,아하(주),15441229,2,7.0,단독,0,1,1.0,0.0,2025-02-03 14:03:10,,,,52,52140,B0,B004,Y,,N,,N,,N,2025,전북특별자치도
양평 삼보사사찰,AH000030,경기도 양평군 양평읍 백운길 144-12,,,24시간 이용가능,37.5009687,127.509778,AH,아하,아하(주),15441229,2,7.0,단독,3,3,0.0,1.0,2025-05-13 16:18:02,2025-01-07 09:32:42,2025-01-07 16:48:02,,41,41830,G0,G004,Y,,N,,N,,N,2025,경기도
파주 금촌어울림센터,AH000031,경기도 파주시 금정로 45,,,24시간 이용가능,37.7589334,126.7748578,AH,아하,아하,15441229,4,50.0,동시,2,2,0.0,1.0,2025-05-15 11:21:05,2025-05-15 11:06:02,2025-05-15 11:21:05,,41,41480,A0,A004,Y,,N,,N,,N,2025,경기도
용인 사이로직,AH000032,경기도 용인시 기흥구 흥덕1로 5-11,,,24시간 이용가능,37.269652,127.065147,AH,아하,(주)아하,15441229,2,7.0,단독,3,3,0.0,1.0,2025-04-30 08:33:46,,,,41,41460,B0,B004,Y,,N,,N,,N,2025,경기도
안산 앤타그라스,AH000034,경기도 안산시 상록구 한양대학로 55,,,24시간 이용가능,37.298004734,126.8343938,AH,아하,아하(주),15441229,"2,4","100.0,50.0,7.0","단독,동시",0,5,1.0,0.0,2025-01-17 13:30:00,,,,41,41270,G0,G004,Y,,N,,N,,N,2025,경기도
경기 동두천역,AH000035,경기도 동두천시 평화로 2687,,,24시간 이용가능,37.927976147,127.0541894,AH,아하,아하(주),15441229,4,"100.0,50.0","단독,동시",0,3,1.0,0.0,,,,,41,41250,G0,G004,Y,,N,,N,,N,2025,경기도
고양 향동동 산31-1이브이이음,AH000037,경기도 고양시 덕양구 봉산로 195,,,24시간 이용가능,37.60971767,126.8906457,AH,아하,아하(주),15441229,"2,4","100.0,14.0,200.0,7.0","단독,동시",0,15,1.0,0.0,,,,,41,41280,G0,G004,Y,,N,,N,,N,2025,경기도
전남 강진 노을공원,AH000038,전라남도 강진군 강진읍 탐진로 111,,,24시간 이용가능,34.64172514,126.7673258,AH,아하,아하(주),15441229,4,100.0,동시,0,2,1.0,0.0,2025-01-21 16:03:10,,,,46,46810,G0,G004,Y,,N,,N,,N,2025,전라남도
서울 도봉구청,AH000039,서울특별시 도봉구 마들로 656,,,24시간 이용가능,37.66871612,127.0471314,AH,아하,아하(주),15441229,4,50.0,동시,0,2,1.0,0.0,,,,,11,11320,A0,A001,Y,,N,,N,,N,2025,서울특별시
익산 제3산업단지 제4주차장,AH000042,전북특별자치도 익산시 낭산면 미륵사지로 820-25,,,24시간 이용가능,36.04152253,126.99704693,AH,아하,아하(주),15441229,4,50.0,단독,0,1,1.0,0.0,,,,,52,52140,B0,B001,Y,,N,,N,,N,2025,전북특별자치도
인천 청라스퀘어7,AH000043,인천광역시 서구 청라루비로 76,,,24시간 이용가능,37.532284,126.6420995,AH,아하,아하(주),15441229,4,50.0,동시,0,2,1.0,0.0,,,,,28,28260,G0,G004,Y,,N,,N,,N,2025,인천광역시
남양주 진건 전기차충전소,AH000048,경기도 남양주시 진건읍 독정로 108-21,,,24시간 이용가능,37.67999522,127.17887111,AH,아하,아하(주),15441229,2,14.0,동시,0,4,1.0,0.0,2025-02-02 12:03:10,,,,41,41360,G0,G004,Y,,N,,N,,N,2025,경기도
익산 3산업단지내 제7주차장,AH000049,전북특별자치도 익산시 삼기면 산단구평길 89,,,24시간 이용가능,36.0416518,127.00049391,AH,아하,아하(주),15441229,2,14.0,동시,0,2,1.0,0.0,2025-02-20 10:33:10,,,,52,52140,B0,B004,Y,,N,,N,,N,2025,전북특별자치도
익산 4산업단지 주차장,AH000050,전북특별자치도 익산시 함열읍 익산대로78길 313,,,24시간 이용가능,36.03129418,126.95795193,AH,아하,아하(주),15441229,2,14.0,동시,0,2,1.0,0.0,2025-02-20 10:48:10,,,,52,52140,B0,B004,Y,,N,,N,,N,2025,전북특별자치도
익산 역골주차장,AH000051,전북특별자치도 익산시 학곤로4길 20-27,,,24시간 이용가능,35.93856893,126.94315297,AH,아하,아하(주),15441229,2,14.0,동시,2,2,0.0,1.0,2025-05-11 09:15:38,2025-05-11 08:15:35,2025-05-11 09:15:38,,52,52140,B0,B004,Y,,N,,N,,N,2025,전북특별자치도
대구 대성기전,AH000052,대구광역시 북구 검단로31길 56-8,,,24시간 이용가능,35.914363503,128.62096519,AH,아하,아하(주),15441229,2,7.0,단독,0,2,1.0,0.0,2025-02-17 11:28:10,,,,27,27230,G0,G004,Y,,N,,N,,N,2025,대구광역시
이브이씨코리아,AH000055,경기도 남양주시 순화궁로 282,,,24시간 이용가능,37.652296342,127.12932854,AH,아하,아하(주),15441229,2,7.0,단독,0,4,1.0,0.0,,,,,41,41360,G0,G004,Y,,N,,N,,N,2025,경기도
익산 모현동 제2 공영 주차장,AH000056,전북특별자치도 익산시 선화로3길 12,,,24시간 이용가능,35.950619817,126.9391435,AH,아하,아하(주),15441229,2,7.0,단독,1,1,0.0,1.0,2025-05-08 20:12:58,2025-05-08 18:42:55,2025-05-08 20:12:58,,52,52140,B0,B001,Y,,N,,N,,N,2025,전북특별자치도
익산 부송공영주차장,AH000057,전북특별자치도 익산시 부송로2길 18,,,24시간 이용가능,35.954856695,126.9941508,AH,아하,아하(주),15441229,2,7.0,단독,1,1,0.0,1.0,2025-05-07 11:56:33,2025-05-07 11:11:31,2025-05-07 11:56:33,,52,52140,B0,B001,Y,,N,,N,,N,2025,전북특별자치도
익산 주현동 공용주차장,AH000058,전북특별자치도 익산시 주현로 40,,,24시간 이용가능,35.933875819,126.95733458,AH,아하,아하(주),15441229,2,7.0,단독,1,1,0.0,1.0,2025-04-30 08:33:46,,,,52,52140,B0,B001,Y,,N,,N,,N,2025,전북특별자치도
제주 스포츠센터,AH000059,제주특별자치도 서귀포시 대정읍 중산간서로 2324-10,,,24시간 이용가능,33.27734549,126.2821421,AH,아하,아하(주),15441229,2,7.0,단독,4,4,0.0,1.0,2025-05-15 14:51:39,2025-05-15 13:51:25,2025-05-15 14:51:39,,50,50130,G0,G004,Y,,N,,N,,N,2025,제주특별자치도
익산 영등동 공용주차장,AH000060,전북특별자치도 익산시 무왕로16길 5,,,24시간 이용가능,35.958022678,126.97702076,AH,아하,아하(주),15441229,2,14.0,동시,2,2,0.0,1.0,2025-05-06 15:25:41,2025-05-06 12:25:10,2025-05-06 15:25:41,,52,52140,B0,B001,Y,,N,,N,,N,2025,전북특별자치도
세종 국립세종수목원,AH000061,세종특별자치시 수목원로 136,,,24시간 이용가능,36.49809616,127.28578889,AH,아하,아하(주),15441229,4,50.0,단독,0,1,1.0,0.0,,,,,36,36110,A0,A003,Y,,N,,N,,N,2025,세종특별자치시
서울 쌍문종합체육센터,AH000062,서울특별시 도봉구 시루봉로 42,,,24시간 이용가능,37.654381122,127.02836981,AH,아하,아하(주),15441229,4,50.0,동시,0,2,1.0,0.0,,,,,11,11320,A0,A004,Y,,N,,N,,N,2025,서울특별시
고양 미성,AH000065,경기도 고양시 덕양구 고양대로 1569-1,,,24시간 이용가능,37.648289,126.8561217,AH,아하,아하(주),15441229,4,100.0,동시,8,8,0.0,1.0,2025-05-08 09:12:29,2025-05-08 08:57:29,2025-05-08 09:12:29,,41,41280,G0,G004,Y,,Y,시설 상황에 따라 이용이 제한될 수있음,N,,N,2025,경기도
경기 에스피엘 주식회사,AH000066,경기도 평택시 팽성읍 추팔산단1길 157,,,24시간 이용가능,36.95236738,127.0769701,AH,아하,아하(주),15441229,2,7.0,단독,2,2,0.0,1.0,2025-05-13 18:33:08,2025-05-13 13:47:55,2025-05-13 18:33:08,,41,41220,G0,G004,Y,,N,,N,,N,2025,경기도
전북 국립전북기상과학관,AH000067,전북특별자치도 정읍시 서부산업도로 168-43,,,24시간 이용가능,35.563810573,126.8382319,AH,아하,아하(주),15441229,2,7.0,단독,1,1,0.0,1.0,2025-05-12 21:32:12,2025-05-12 16:01:58,2025-05-12 21:32:12,,52,52180,G0,G004,Y,,N,시설 상황에 따라 이용이 제한될 수 있음,N,,N,2025,전북특별자치도
제주 헤리스가든,AH000068,제주특별자치도 제주시 한북로 154,,,24시간 이용가능,33.46292124,126.5324308,AH,아하,아하(주),15441229,"2,4","50.0,7.0",단독,3,4,0.25,1.0,2025-04-30 08:33:46,2025-04-29 10:27:43,,2025-04-29 10:27:42,50,50110,G0,G004,Y,,N,시설 상황에 따라 이용이 제한될 수 있음,N,,Y,2025,제주특별자치도
아론 방배동,ALAL0001,서울특별시 서초구 방배로15길 34,,실외 주차장,24시간 이용가능,37.483836,126.993952,AL,아론,아론,1660-3793,2,7.0,단독,3,4,0.25,1.0,2025-05-15 15:11:47,2025-05-15 15:11:47,2025-05-15 14:59:49,2025-05-15 15:11:47,11,11650,G0,G004,N,등록된 차량 외 입차 금지,Y,등록차량외 출입제한,N,,N,2024,서울특별시
소설스미스,ALAL0002,충청남도 천안시 서북구 성정공원5로 64,,실외 주차장,24시간 이용가능,36.8272212,127.1444222,AL,아론,아론,1660-3793,2,7.0,단독,1,1,0.0,1.0,2025-05-14 09:00:55,2025-01-15 07:50:13,2025-05-14 09:00:55,,44,44130,E0,E003,Y,숙박객 전용,Y,숙박객 전용,N,,N,2024,충청남도
쇼호텔,ALAL0003,충청남도 천안시 서북구 성정공원2길 21,쇼호텔,실외 주차,24시간 이용가능,36.8272601,127.1427726,AL,아론,아론,1660-3793,2,7.0,단독,1,1,0.0,1.0,2025-05-05 11:57:01,2025-01-16 20:14:43,2025-05-05 11:57:01,,44,44130,E0,E003,Y,숙박객 전용,Y,숙박객 전용,N,,N,2024,충청남도
충주 이든호텔 급속충전소,AM900000,충청북도 충주시 앙성면 능동3길 16,,지상주차장(옥외),24시간 이용가능,37.0892802,127.799186,AM,아마노코리아,아마노코리아,1833-4577,4,100.0,동시,0,2,1.0,0.0,2025-01-17 13:30:00,2024-10-09 08:10:23,2024-10-09 08:10:29,,43,43130,E0,E003,N,,N,시설 상황에 따라 이용이 제한될 수 있음,N,,N,2022,충청북도
보건복지행정타운 충전소,AM900008,서울특별시 광진구 능동로 400,,B2F 주차장,24시간 이용가능,37.565011,127.0845968,AM,아마노코리아,아마노코리아,1833-4577,2,7.0,단독,2,2,0.0,1.0,2025-05-15 15:59:50,2025-05-14 07:05:22,2025-05-14 11:05:41,,11,11215,A0,A003,N,,N,시설 상황에 따라 이용이 제한될 수 있음,N,,N,2022,서울특별시
보건복지행정타운(경기북부) 급속충전소,AM900009,서울특별시 광진구 능동로 400,,구내주차장,24시간 이용가능,37.565011,127.0845968,AM,아마노코리아,아마노코리아,1833-4577,4,100.0,동시,2,2,0.0,1.0,2025-05-15 13:08:43,2025-05-13 08:05:35,2025-05-13 09:05:45,,11,11215,A0,A003,N,,N,시설 상황에 따라 이용이 제한될 수 있음,N,,N,2022,서울특별시
파주MH타워 충전소,AM900010,경기도 파주시 중앙로 328,,지하1층,24시간 이용가능,37.7648794,126.7745263,AM,아마노코리아,아마노코리아,1833-4577,2,7.0,단독,4,4,0.0,1.0,2025-05-15 15:09:58,2025-05-15 10:05:47,2025-05-15 10:05:54,,41,41480,G0,G004,N,,N,시설 상황에 따라 이용이 제한될 수 있음,N,,N,2022,경기도
서울 한샘상암사옥 충전소,AM900012,서울특별시 마포구 성암로 179,,지하5층 램프 옆 벽면,24시간 이용가능,37.5761509,126.8987638,AM,아마노코리아,아마노코리아,1833-4577,2,7.0,동시,2,10,0.8,0.3,2025-05-15 15:52:40,2025-05-15 15:52:40,2025-05-14 11:05:39,2025-05-15 08:12:41,11,11440,G0,G004,N,,N,시설 상황에 따라 이용이 제한될 수 있음,N,,N,2022,서울특별시
수원 광교농우바이오 충전소,AM900013,경기도 수원시 영통구 센트럴타운로 114-8,,지하1층 주차장,24시간 이용가능,37.2936915,127.0503544,AM,아마노코리아,아마노코리아,1833-4577,2,7.0,단독,3,3,0.0,1.0,2025-05-15 14:03:48,2025-05-14 09:05:13,2025-05-14 11:05:59,,41,41110,G0,G004,N,,N,시설 상황에 따라 이용이 제한될 수 있음,N,,N,2022,경기도
스퀘어1188 충전소,AM900014,경기도 남양주시 식송1로 192,1층 주차장,구내주차장 #1~#4,24시간 이용가능,37.6650617,127.1122035,AM,아마노코리아,아마노코리아,1833-4577,2,7.0,단독,1,4,0.75,0.25,2025-05-15 15:50:26,2025-05-04 07:05:36,2025-05-04 09:05:55,,41,41360,G0,G004,N,,N,시설 상황에 따라 이용이 제한될 수 있음,N,,N,2022,경기도
충주 이든호텔 충전소,AM900015,충청북도 충주시 앙성면 능동3길 16,,지상주차장(옥외),24시간 이용가능,37.0894175,127.7992098,AM,아마노코리아,아마노코리아,1833-4577,2,7.0,동시,0,2,1.0,0.0,2025-01-17 13:30:00,2024-09-30 09:09:17,2024-09-30 11:09:26,,43,43130,E0,E003,N,,N,시설 상황에 따라 이용이 제한될 수 있음,N,,N,2022,충청북도
평택 지산동 지식산업센터 충전소,AM900017,경기도 평택시 지산로11번길 7,,지하1층(옥내),24시간 이용가능,37.07925712,127.05599184,AM,아마노코리아,아마노코리아,1833-4577,2,7.0,단독,0,1,1.0,0.0,,,,,41,41220,G0,G004,N,,N,시설 상황에 따라 이용이 제한될 수 있음,N,,N,2022,경기도
지산 리세스빌 도안 급속충전소,AM900018,대전광역시 서구 원도안로25번길 8-6,,지하 1층 옥내,24시간 이용가능,36.3073248,127.3474257,AM,아마노코리아,아마노코리아,1833-4577,5,50.0,동시,0,10,1.0,0.0,,,,,30,30170,G0,G004,N,,N,시설 상황에 따라 이용이 제한될 수 있음,N,,N,2022,대전광역시
대구 동천동 세븐밸리 충전소,AM900026,대구광역시 북구 동암로 90,"지하1층 주차장 , 지하2층 주차장","지하1층 주차장 , 지하2층 주차장",24시간 이용가능,35.94413786,128.5603226,AM,아마노코리아,아마노코리아,1833-4577,2,7.0,단독,7,7,0.0,1.0,2025-05-15 10:51:47,2025-05-14 09:05:41,2025-05-14 12:05:41,,27,27230,E0,E001,N,시설 상황에 따라 이용이 제한될 수 있음,N,시설 상황에 따라 이용이 제한될 수 있음,N,,N,2023,대구광역시
아마노코리아 제주지점 충전소,AM900027,제주특별자치도 제주시 월광로 99,지상주차장(옥외),지상주차장(옥외),24시간 이용가능,33.4889498,126.4697625,AM,아마노코리아,아마노코리아,1833-4577,2,7.0,단독,1,1,0.0,1.0,2025-05-13 23:04:12,2025-05-11 07:05:16,2025-05-11 11:05:49,,50,50110,G0,G004,Y,시설 상황에 따라 이용이 제한될 수 있음,N,,N,,N,2023,제주특별자치도
수원프리미엄아울렛 충전소,AM900028,경기도 용인시 기흥구 중부대로 64,A  B동 주차장,A동 B동 주차장,24시간 이용가능,37.26666684,127.0763187,AM,아마노코리아,아마노코리아,1833-4577,2,7.0,동시,7,8,0.125,1.0,2025-05-15 15:40:02,2025-05-14 11:05:31,2025-05-14 01:05:56,2025-05-15 14:06:52,41,41460,E0,E001,N,시설 상황에 따라 이용이 제한될 수 있음,N,시설 상황에 따라 이용이 제한될 수 있음,N,,N,2023,경기도
세종국책연구단지 급속충전소,AM900029,세종특별자치시 시청대로 370,지하1층 (옥내),지하1층 (옥내),24시간 이용가능,36.4958423,127.3045433,AM,아마노코리아,아마노코리아,1833-4577,4,100.0,동시,4,4,0.0,1.0,2025-05-15 02:44:12,2025-05-14 06:05:44,2025-05-14 07:05:04,,36,36110,A0,A003,Y,시설 상황에 따라 이용이 제한될 수 있음,N,시설 상황에 따라 이용이 제한될 수 있음,N,,N,2023,세종특별자치시
세종국책연구단지 충전소,AM900030,세종특별자치시 시청대로 370,지하1층 주차장,지하1층 주차장,24시간 이용가능,36.49584229,127.3045433,AM,아마노코리아,아마노코리아,1833-4577,2,7.0,단독,15,15,0.0,1.0,2025-05-15 13:32:45,2025-05-15 08:05:52,2025-05-15 08:05:29,,36,36110,A0,A003,Y,시설 상황에 따라 이용이 제한될 수 있음,N,시설 상황에 따라 이용이 제한될 수 있음,N,,N,2023,세종특별자치시
향동어반플레이스 충전소,AM900031,경기도 고양시 덕양구 향기로 119,지하2층 주차장,지하2층 주차장,24시간 이용가능,37.60037996,126.8939633,AM,아마노코리아,아마노코리아,1833-4577,2,7.0,단독,0,2,1.0,0.0,2025-05-07 03:13:10,2025-02-26 12:02:20,2025-02-26 02:02:00,,41,41280,G0,G004,N,시설 상황에 따라 이용이 제한될 수 있음,N,시설 상황에 따라 이용이 제한될 수 있음,N,,N,2023,경기도
