statNm,statId,addr,addrDetail,location,useTime,lat,lng,busiId,bnm,busiNm,busiCall,chgerType,output,method,available_chargers,num_chargers,congestion_ratio,working_ratio,statUpdDt,lastTsdt,lastTedt,nowTsdt,zcode,zscode,kind,kindDetail,parkingFree,note,limitYn,limitDetail,delYn,delDetail,trafficYn,year,regionName,distance_km,is_free_parking,has_convenience,is_fast,avg_cost,inv_cost,is_free_parking_score,working_ratio_score,congestion_ratio_score,inv_cost_score,has_convenience_score,is_fast_score,distance_km_score,total_score
농월정 관광단지 주차장,ME18C127,경상남도 함양군 안의면 농월정길9-13,,,24시간 이용가능,35.623657,127.783039,ME,환경부,환경부,1661-9408,6,100.0,단독,1,1,0.0,1.0,2025-05-15 15:54:07,2025-05-13 10:23:43,2025-05-13 11:05:18,,48,48870,B0,B002,Y,,N,,N,,N,2018,경상남도,3.006237718255954,1,0,0,300,0.0033333333222222,0.5,1.0,0.8,0.0026666666577777,0.0,0.0,-4.509356577383931,-2.2066899107261535
함양 농월정 주차장,HY000252,경상남도 함양군 안의면 농월정길 8-11,농월정 주차장,경상남도 함양군 안의면 농월정길 8-11 농월정 주차장,24시간 이용가능,35.623526,127.782737,HY,현대엔지니어링,현대엔지니어링,1833-8777,2,7.0,단독,2,2,0.0,1.0,2025-05-11 15:21:03,2025-05-11 12:41:35,2025-05-11 15:20:46,,48,48870,B0,B001,N,,N,,N,,N,2023,경상남도,2.9838659310131015,0,0,0,300,0.0033333333222222,0.0,1.0,0.8,0.0026666666577777,0.0,0.0,-4.4757988965196525,-2.6731322298618747
함양 개평마을,PC001209,경상남도 함양군 지곡면 병곡지곡로 899,,지상 주차장,24시간 이용가능,35.566991816,127.76788616,PC,파킹클라우드,아이파킹,1533-5783,4,50.0,단독,1,1,0.0,1.0,2025-05-12 18:22:33,2025-05-07 15:41:38,2025-05-07 15:56:17,,48,48870,D0,D003,Y,,N,,N,,N,2025,경상남도,3.474188823545561,1,0,0,300,0.0033333333222222,0.5,1.0,0.8,0.0026666666577777,0.0,0.0,-5.211283235318342,-2.908616568660564
함양 지곡면 사무소,HY000261,경상남도 함양군 지곡면 함양로 1890,함양 지곡면 사무소,경상남도 함양군 지곡면 함양로 1890 함양 지곡면 사무소,24시간 이용가능,35.566143,127.774013,HY,현대엔지니어링,현대엔지니어링,1833-8777,2,7.0,단독,1,1,0.0,1.0,2025-05-12 15:26:03,2025-05-12 08:38:36,2025-05-12 15:25:35,,48,48870,A0,A002,N,,N,,N,,N,2023,경상남도,3.5456447471772576,0,0,0,300,0.0033333333222222,0.0,1.0,0.8,0.0026666666577777,0.0,0.0,-5.318467120765886,-3.5158004541081085
안의면사무소,KP003403,경상남도 함양군 안의면 금성길 7,,,24시간 이용가능,35.62848523212,127.81112173453,KP,한국전력공사,한국전력,1899-2100,6,50.0,,1,1,0.0,1.0,2025-05-15 12:59:05,2025-05-15 12:21:26,2025-05-15 12:58:21,,48,48870,A0,A002,Y,,N,,N,,N,2019,경상남도,4.863778293170801,1,0,0,300,0.0033333333222222,0.5,1.0,0.8,0.0026666666577777,0.0,0.0,-7.295667439756202,-4.993000773098425
함양 수동면사무소,HY000260,경상남도 함양군 수동면 수동길 27,수동면사무소,경상남도 함양군 수동면 수동길 27 수동면사무소,24시간 이용가능,35.522019,127.787759,HY,현대엔지니어링,현대엔지니어링,1833-8777,2,7.0,단독,1,1,0.0,1.0,2025-05-15 11:34:05,2025-05-15 11:25:33,2025-05-15 11:33:53,,48,48870,A0,A002,N,,N,,N,,N,2023,경상남도,0.3978292577868136,0,0,0,300,0.0033333333222222,0.0,1.0,0.8,0.0026666666577777,0.0,0.0,-0.5967438866802205,1.2059227799775574
창원 제일장례식장,NT100941,경상남도 함양군 함양읍 고운로 476-19,,,24시간 이용가능,35.525754147,127.77144897,NT,한국전자금융,한국전자금융,1533-2522,2,7.0,단독,1,1,0.0,1.0,2025-05-10 02:08:50,2025-05-10 00:38:50,2025-05-10 02:08:50,,48,48870,G0,G004,N,,N,,N,,N,2023,경상남도,1.382626114835106,0,0,0,300,0.0033333333222222,0.0,1.0,0.8,0.0026666666577777,0.0,0.0,-2.073939172252659,-0.2712725055948812
조망공원,ME23B1A1,경상남도 함양군 함양읍 신관리 820-17,경상남도 함양군 함양읍 신관리 820-17,,24시간 개방,35.5243924,127.7438771,ME,환경부,환경부,1661-9408,6,100.0,단독,1,1,0.0,1.0,2025-05-15 15:54:52,2025-05-15 09:36:02,2025-05-15 10:18:42,,48,48870,D0,D001,Y,,N,,N,,N,2023,경상남도,3.7297763819122474,1,0,0,300,0.0033333333222222,0.5,1.0,0.8,0.0026666666577777,0.0,0.0,-5.594664572868371,-3.2919979062105935
함양휴게소 (통영방향) (급),EC480010,경상남도 함양군 지곡면 효산길 23-31,,,24시간 이용가능,35.5519251,127.7584,EC,이지차저,이지차저,1544-3332,4,200.0,단독,2,2,0.0,1.0,2025-05-15 15:34:44,2025-05-15 15:05:19,2025-05-15 15:26:24,,48,48870,C0,C001,Y,,N,,N,,Y,2024,경상남도,4.318216022678578,1,1,0,300,0.0033333333222222,0.5,1.0,0.8,0.0026666666577777,0.4,0.0,-6.477324034017867,-3.7746573673600894
함양(통영) 휴게소,ME178056,경상남도 함양군 지곡면 효산길 23-31 (보산리),,,24시간 이용가능,35.5510049,127.7588744,ME,환경부,환경부,1661-9408,6,50.0,단독,1,1,0.0,1.0,2025-05-15 15:54:19,2025-05-15 15:10:41,2025-05-15 15:22:41,,48,48870,C0,C001,Y,,N,,N,,N,2017,경상남도,4.2092081911548505,1,0,0,300,0.0033333333222222,0.5,1.0,0.8,0.0026666666577777,0.0,0.0,-6.313812286732276,-4.0111456200744975
북신지구대,ME22D264,경상남도 통영시 무전대로 40,경상남도 통영시 무전대로 40,,24시간 이용가능,34.8598181,128.4250025,ME,환경부,환경부,1661-9408,4,100.0,단독,2,2,0.0,1.0,2025-05-15 15:56:13,2025-05-15 13:05:02,2025-05-15 13:27:42,,48,48220,I0,I004,Y,,N,,N,,N,2022,경상남도,0.4842584002167687,1,0,0,300,0.0033333333222222,0.5,1.0,0.8,0.0026666666577777,0.0,0.0,-0.726387600325153,1.5762790663326247
무전제2 공영주차장,HM003008,경상남도 통영시 무전동 1022,,지상 주차장,24시간 이용가능,34.8594798,128.4237781,HM,휴맥스이브이,휴맥스이브이,1800-3188,4,100.0,동시,2,2,0.0,1.0,2025-05-14 20:42:38,2025-05-14 18:56:26,2025-05-14 20:26:58,,48,48220,B0,B001,Y,,N,,N,,N,2023,경상남도,0.6020801629502975,1,0,0,300,0.0033333333222222,0.5,1.0,0.8,0.0026666666577777,0.0,0.0,-0.9031202444254464,1.3995464222323315
통영시청2청사,KP005098,경상남도 통영시 해미당1길 33,,,24시간 이용가능,34.8558,128.4309,KP,한국전력공사,한국전력,1899-2100,4,100.0,단독,2,2,0.0,1.0,2025-05-15 15:30:06,2025-05-15 15:13:16,2025-05-15 15:29:41,,48,48220,A0,A001,Y,,N,,N,,N,2022,경상남도,0.6230151643892509,1,0,0,300,0.0033333333222222,0.5,1.0,0.8,0.0026666666577777,0.0,0.0,-0.9345227465838764,1.3681439200739014
롯데마트 통영점 노외주차장,JA480023,경상남도 통영시 무전대로 65,롯데마트 통영점 노외주차장,지상 1층 입구 우측,24시간 이용가능,34.8616068,128.4275043,JA,이브이시스,이브이시스,1577-1556,4,100.0,동시,5,6,0.1666666666666666,1.0,2025-05-15 15:56:07,2025-05-15 15:56:07,2025-05-15 15:56:07,2025-05-15 15:56:07,48,48220,E0,E001,N,,N,,N,,N,2023,경상남도,0.2268057233603432,0,0,0,300,0.0033333333222222,0.0,1.0,0.6666666666666667,0.0026666666577777,0.0,0.0,-0.3402085850405148,1.3291247482839297
호라,TDM00003,경상남도 통영시 안개1길 16,호라호텔(모텔베니스),실내주차장,24시간 이용가능,34.8580972,128.4293071,TD,타디스테크놀로지,evPlug,02-6956-3000,2,7.0,단독,2,2,0.0,1.0,2025-05-08 09:02:11,2025-05-07 20:24:14,2025-05-08 02:43:00,,48,48220,E0,E003,N,,N,,N,,N,2020,경상남도,0.3668063648045881,0,0,0,300,0.0033333333222222,0.0,1.0,0.8,0.0026666666577777,0.0,0.0,-0.5502095472068822,1.2524571194508956
무주IC만남의광장점,ME19B407,전북특별자치도 무주군 무주로 1739,,,24시간 이용가능,35.973357,127.651458,ME,환경부,환경부,1661-9408,4,100.0,단독,4,4,0.0,1.0,2025-05-15 15:51:52,2025-05-15 15:11:41,2025-05-15 15:51:44,,52,52730,C0,C002,Y,,N,,N,,N,2019,전북특별자치도,2.8203017030070474,1,0,0,300,0.0033333333222222,0.5,1.0,0.8,0.0026666666577777,0.0,0.0,-4.230452554510571,-1.9277858878527936
무주소방서,NT101082,전북특별자치도 무주군 무주읍 당산강변로 126,,지상주차장(본청 뒤 주차면),24시간 이용가능,36.0028175,127.6551518,NT,한국전자금융,한국전자금융,1533-2522,"4,6","100.0,50.0","단독,동시",2,2,0.0,1.0,2025-05-15 13:37:50,2025-05-15 13:15:50,2025-05-15 13:37:50,,52,52730,A0,A001,N,,N,,N,,N,2023,전북특별자치도,2.8227044972106516,0,0,0,300,0.0033333333222222,0.0,1.0,0.8,0.0026666666577777,0.0,0.0,-4.234056745815978,-2.4313900791582
(급속)무주 진강원식당 뒤 공영주차장,WB510080,전북특별자치도 무주군 무주읍 주계로 79,공영주차장,,24시간 이용가능,36.0063096,127.6588522,WB,이브이루씨,(주)이브이루씨,1833-2909,4,100.0,단독,2,2,0.0,1.0,2025-05-15 13:05:01,2025-05-15 12:02:32,2025-05-15 12:46:21,,52,52730,B0,B001,Y,,N,,N,,N,2024,전북특별자치도,3.309323177200496,1,0,0,300,0.0033333333222222,0.5,1.0,0.8,0.0026666666577777,0.0,0.0,-4.963984765800744,-2.661318099142966
무주군 무주예체문화관,PI630341,전북특별자치도 무주군 무주읍 한풍루로 326-17,청소년수련관앞,청소년수련관앞,24시간 이용가능,36.002360884,127.66252875,PI,GS차지비,GS차지비,1600-4047,2,7.0,단독,1,1,0.0,1.0,2025-05-15 11:26:07,2025-05-15 10:20:30,2025-05-15 10:20:30,,52,52730,A0,A001,Y,,N,,N,,N,2022,전북특별자치도,3.393240020416908,1,0,0,300,0.0033333333222222,0.5,1.0,0.8,0.0026666666577777,0.0,0.0,-5.089860030625362,-2.787193363967584
무주군 예체문화관 P2주차장,JA520023,전북특별자치도 무주군 무주읍 당산리 1135-3,,,24시간 이용가능,36.0026507,127.6636828,JA,이브이시스,이브이시스,1577-1556,"2,4","100.0,11.0,7.0",단독,5,5,0.0,1.0,2025-05-15 12:42:11,2025-05-15 12:07:18,2025-05-15 12:42:11,,52,52730,G0,G004,Y,,N,,N,,N,2024,전북특별자치도,3.501296201907135,1,0,0,300,0.0033333333222222,0.5,1.0,0.8,0.0026666666577777,0.0,0.0,-5.251944302860703,-2.949277636202925
천안상록리조트,ME18A312,충청남도 천안시 동남구 수신면 수신로 576,,,24시간 이용가능,36.742044,127.286159,ME,환경부,환경부,1661-9408,"4,6","100.0,200.0","단독,동시",3,3,0.0,1.0,2025-05-15 16:15:14,2025-05-15 06:07:37,2025-05-15 06:24:08,,44,44130,E0,E003,Y,,N,,N,,N,2018,충청남도,1.582768898123325,1,0,0,300,0.0033333333222222,0.5,1.0,0.8,0.0026666666577777,0.0,0.0,-2.3741533471849876,-0.0714866805272098
천안호두(부산) 휴게소,ME18A504,충청남도 천안시 동남구 수신면 성남로 793-40,,,24시간 이용가능,36.730579,127.262657,ME,환경부,환경부,1661-9408,6,100.0,단독,1,1,0.0,1.0,2025-05-15 16:13:11,2025-05-15 15:53:12,2025-05-15 16:02:29,,44,44130,C0,C001,Y,,N,,N,,N,2018,충청남도,3.08214615747845,1,0,0,300,0.0033333333222222,0.5,1.0,0.8,0.0026666666577777,0.0,0.0,-4.623219236217675,-2.3205525695598976
병천 제1공영주차장,ME20C199,충청남도 천안시 동남구 병천리 211-1,,,24시간 이용가능,36.7594717,127.2990732,ME,환경부,환경부,1661-9408,4,100.0,단독,1,1,0.0,1.0,2025-05-15 16:14:05,2025-05-15 13:13:41,2025-05-15 13:53:41,,44,44130,B0,B001,Y,,N,,N,,N,2021,충청남도,3.1790882882365636,1,0,0,300,0.0033333333222222,0.5,1.0,0.8,0.0026666666577777,0.0,0.0,-4.7686324323548455,-2.4659657656970677
천안호두(부산) 휴게소,ME21A209,충청남도 천안시 동남구 성남면 대화리 산8-12,,,24시간 이용가능,36.7304185,127.2638826,ME,환경부,환경부,1661-9408,4,100.0,단독,0,2,1.0,0.5,2025-05-15 16:14:40,2025-05-15 15:00:12,2025-05-15 15:12:53,2025-05-15 16:06:28,44,44130,C0,C001,Y,,N,,N,,N,2021,충청남도,2.973215813890267,1,0,0,300,0.0033333333222222,0.5,0.5,0.0,0.0026666666577777,0.0,0.0,-4.4598237208354,-3.457157054177623
병천면 행정복지센터,ME19Y245,충청남도 천안시 동남구 병천면 병천2로 57,,,24시간 이용가능,36.765921,127.30236,ME,환경부,환경부,1661-9408,4,100.0,단독,2,2,0.0,1.0,2025-05-15 16:14:26,2025-05-15 14:14:26,2025-05-15 14:54:26,,44,44130,A0,A002,Y,,N,,N,,N,2019,충청남도,3.9186644063524105,1,0,0,300,0.0033333333222222,0.5,1.0,0.8,0.0026666666577777,0.0,0.0,-5.877996609528616,-3.575329942870838
화성 조형님,EP230176,경기도 화성시 동탄순환대로3가길 14-14,주차장,주차장,24시간 이용가능,37.166167773,127.09400275,EP,이카플러그,이카플러그,1833-4577,2,7.0,단독,1,1,0.0,1.0,2025-05-15 02:11:53,2025-04-26 10:04:26,2025-04-27 07:04:33,,41,41590,G0,G004,Y,,N,,N,,N,2023,경기도,0.2278329336895874,1,0,0,300,0.0033333333222222,0.5,1.0,0.8,0.0026666666577777,0.0,0.0,-0.3417494005343811,1.960917266123397
유명골프클럽,PMP00511,경기도 성남시 수정구 설개로 60,(유명골프클럽),,24시간 이용가능,37.1717709,127.0874782,PM,피라인모터스,피라인모터스,1234-5678,4,100.0,단독,4,4,0.0,1.0,2025-05-14 23:49:34,2025-05-14 22:49:34,2025-05-14 23:49:34,,41,41130,E0,E004,Y,,N,,N,,Y,2024,경기도,0.681360548486523,1,1,0,300,0.0033333333222222,0.5,1.0,0.8,0.0026666666577777,0.4,0.0,-1.0220408227297846,1.680625843927993
포근베이커리,PL030013,경기도 화성시 동탄순환대로3길 27-15,,,24시간 이용가능,37.1657985,127.096499,PL,플러그링크,플러그링크,1533-0702,2,7.0,단독,3,3,0.0,1.0,2025-05-11 13:50:45,2025-05-11 13:08:35,2025-05-11 13:50:45,,41,41590,G0,G004,N,,Y,시설 상황에 따라 이용이 제한될 수 있음,N,,Y,2024,경기도,0.4528039463232436,0,1,0,300,0.0033333333222222,0.0,1.0,0.8,0.0026666666577777,0.4,0.0,-0.6792059194848654,1.5234607471729122
동탄산단공영주차장,ST415994,경기도 화성시 동탄산단8길 15-12,주차장,주차장,24시간 이용가능,37.173499145,127.0895278,ST,SK일렉링크,SK일렉링크,1566-1704,4,100.0,동시,4,4,0.0,1.0,2025-05-15 14:13:21,2025-05-15 13:45:03,2025-05-15 14:13:21,,41,41590,B0,B001,Y,,N,,N,,Y,2023,경기도,0.7933179789582792,1,1,0,300,0.0033333333222222,0.5,1.0,0.8,0.0026666666577777,0.4,0.0,-1.1899769684374188,1.5126896982203588
화성 초스시(본점)(박성호),EP200002,경기도 화성시 동탄순환대로3길 28-17,(송동 431-2) 건물 옆,건물 옆,24시간 이용가능/시설 상황에 따라 이용이 제한될 수 있습니다,37.1657991,127.0940108,EP,이카플러그,이카플러그,1833-4577,2,7.0,단독,2,2,0.0,1.0,2025-05-13 23:04:00,2025-05-11 11:05:39,2025-05-12 05:05:43,,41,41590,E0,E006,N,,N,시설 상황에 따라 이용이 제한될 수 있음,N,,N,2020,경기도,0.2392862226793111,0,0,0,300,0.0033333333222222,0.0,1.0,0.8,0.0026666666577777,0.0,0.0,-0.3589293340189667,1.443737332638811
장계국민체육센터,ME24B173,전북특별자치도 장수군 장계면 체육공원길 54,,,24시간 이용가능,35.727875,127.592542,ME,환경부,환경부,1661-9408,4,100.0,단독,1,1,0.0,1.0,2025-05-15 15:54:51,2025-05-11 16:19:22,2025-05-11 16:59:22,,52,52740,J0,J007,Y,,N,,N,,N,2024,전북특별자치도,2.9474185107488213,1,0,0,300,0.0033333333222222,0.5,1.0,0.8,0.0026666666577777,0.0,0.0,-4.421127766123232,-2.118461099465454
장수군 레드푸드 융복합센터 주차장,JA450080,전북특별자치도 장수군 계남면 장무로 13-23,장수군 레드푸드 융복합센터 주차장,장수군 레드푸드 융복합센터 주차장,24시간 이용가능,35.7123528,127.5819894,JA,이브이시스,이브이시스,1577-1556,4,100.0,동시,6,6,0.0,1.0,2025-05-15 14:10:06,2025-05-15 13:14:03,2025-05-15 14:10:06,,52,52740,A0,A003,Y,,N,,N,,N,2023,전북특별자치도,3.3408094666869643,1,0,0,300,0.0033333333222222,0.5,1.0,0.8,0.0026666666577777,0.0,0.0,-5.011214200030446,-2.7085475333726685
논개생가지 주차장,ME19Y265,전북특별자치도 장수군 장계면 의암로 558,,,24시간 이용가능,35.680851,127.620807,ME,환경부,환경부,1661-9408,4,100.0,단독,2,2,0.0,1.0,2025-05-15 15:55:19,2025-05-13 16:37:19,2025-05-13 17:19:42,,52,52740,B0,B001,Y,,N,,N,,N,2020,전북특별자치도,3.5047899286327855,1,0,0,300,0.0033333333222222,0.5,1.0,0.8,0.0026666666577777,0.0,0.0,-5.257184892949178,-2.9545182262914005
장수군 백화마을 주차장,JA450081,전북특별자치도 장수군 계남면 고정길 3,장수군 백화마을 주차장,장수군 백화마을 주차장,24시간 이용가능,35.7048105,127.579849,JA,이브이시스,이브이시스,1577-1556,5,50.0,단독,1,1,0.0,1.0,2025-05-08 15:14:03,2025-05-08 14:35:04,2025-05-08 15:14:03,,52,52740,B0,B001,Y,,N,,N,,N,2023,전북특별자치도,3.63193301887667,1,0,0,300,0.0033333333222222,0.5,1.0,0.8,0.0026666666577777,0.0,0.0,-5.447899528315006,-3.145232861657228
계남면 공영주차장,ME20B1c7,전북특별자치도 장수군 계남면 화음리 968-1,,,24시간 이용가능,35.703113954,127.57840026,ME,환경부,환경부,1661-9408,4,100.0,단독,1,1,0.0,1.0,2025-05-15 15:55:34,2025-05-14 16:52:59,2025-05-14 17:05:17,,52,52740,B0,B001,Y,,N,,N,,N,2020,전북특별자치도,3.805815733365209,1,0,0,300,0.0033333333222222,0.5,1.0,0.8,0.0026666666577777,0.0,0.0,-5.708723600047813,-3.4060569333900355
서하 보건지소(함양),PC001208,경상남도 함양군 서하면 송계앞길 7,,지상 주차장,24시간 이용가능,35.647494728,127.69709852,PC,파킹클라우드,아이파킹,1533-5783,"2,4","50.0,7.0",단독,2,2,0.0,1.0,2025-05-12 18:41:30,2025-05-10 05:31:28,2025-05-10 06:15:18,,48,48870,I0,I003,Y,,N,,N,,N,2025,경상남도,4.164285237447112,1,0,0,300,0.0033333333222222,0.5,1.0,0.8,0.0026666666577777,0.0,0.0,-6.246427856170668,-3.9437611895128906
농월정 관광단지 주차장,ME18C127,경상남도 함양군 안의면 농월정길9-13,,,24시간 이용가능,35.623657,127.783039,ME,환경부,환경부,1661-9408,6,100.0,단독,1,1,0.0,1.0,2025-05-15 15:54:07,2025-05-13 10:23:43,2025-05-13 11:05:18,,48,48870,B0,B002,Y,,N,,N,,N,2018,경상남도,4.377332663755824,1,0,0,300,0.0033333333222222,0.5,1.0,0.8,0.0026666666577777,0.0,0.0,-6.565998995633736,-4.263332328975958
함양 서하면 사무소,HY000263,경상남도 함양군 서하면 함양남서로 3937,서하면사무소 주차장 안쪽,경상남도 함양군 서하면 함양남서로 3937 서하면사무소 주차장 안쪽,24시간 이용가능,35.647508,127.695504,HY,현대엔지니어링,현대엔지니어링,1833-8777,2,7.0,단독,1,1,0.0,1.0,2025-05-15 09:11:04,2025-05-14 17:56:49,2025-05-15 09:09:53,,48,48870,A0,A002,N,,N,,N,,N,2023,경상남도,4.283458499956574,0,0,0,300,0.0033333333222222,0.0,1.0,0.8,0.0026666666577777,0.0,0.0,-6.425187749934862,-4.622521083277084
함양 농월정 주차장,HY000252,경상남도 함양군 안의면 농월정길 8-11,농월정 주차장,경상남도 함양군 안의면 농월정길 8-11 농월정 주차장,24시간 이용가능,35.623526,127.782737,HY,현대엔지니어링,현대엔지니어링,1833-8777,2,7.0,단독,2,2,0.0,1.0,2025-05-11 15:21:03,2025-05-11 12:41:35,2025-05-11 15:20:46,,48,48870,B0,B001,N,,N,,N,,N,2023,경상남도,4.350914104597623,0,0,0,300,0.0033333333222222,0.0,1.0,0.8,0.0026666666577777,0.0,0.0,-6.526371156896435,-4.7237044902386565
대봉캠핑랜드주차장,KP005109,경상남도 함양군 병곡면 원산지소길 192,,,24시간 이용가능,35.5871,127.6794,KP,한국전력공사,한국전력,1899-2100,4,100.0,단독,2,2,0.0,1.0,2025-05-10 22:48:07,2025-05-10 22:13:16,2025-05-10 22:45:55,,48,48870,G0,G002,Y,,N,,N,,N,2022,경상남도,6.59714041510173,1,0,0,300,0.0033333333222222,0.5,1.0,0.8,0.0026666666577777,0.0,0.0,-9.895710622652595,-7.593043955994817
반포동방음언덕형공영주차장,ST116527,서울특별시 서초구 주흥3길 34,,지하1층주차장 출입구 좌측,24시간 이용가능,37.50407,127.018615,ST,SK일렉링크,SK일렉링크,1566-1704,4,100.0,동시,4,4,0.0,1.0,2025-05-15 14:41:28,2025-05-15 14:17:49,2025-05-15 14:38:24,,11,11650,B0,B001,N,,N,,N,,N,2022,서울특별시,0.0571808680727592,0,0,0,300,0.0033333333222222,0.0,1.0,0.8,0.0026666666577777,0.0,0.0,-0.0857713021091388,1.716895364548639
