no,StatId,ChargerId,StartDate,EndDate,Note,EvChargerUseStampId,statNm,chgerType,addr,location,lat,lng,useTime,busiId,bnm,busiNm,busiCall,stat,statUpdDt,lastTsdt,lastTedt,nowTsdt,powerType,output,method,zcode,zscode,kind,kindDetail,parkingFree,eci_note,limitYn,limitDetail,delYn,delDetail,Available,LatNumber,LngNumber,AverageRating,AverageCharingSpeed
1619236,CV001184,1,2025-01-06 10:51,2025-01-06 11:20,NULL,1611617,4-1생활권 복합커뮤니티센터,6,세종특별자치시 반곡로 39,NULL,36.498727,127.310574,09:00~18:00,CV,대영채비,대영채비(주),1522-2573,2,2.02502E+13,2.02501E+13,2.02501E+13,NULL,NULL,50,단독,36,36110,A0,A002,Y,NULL,N,NULL,N,NULL,YES,36.4987,127.311,0,0
1619235,CV000692,2,2025-01-06 10:43,2025-01-06 11:23,NULL,1611616,3생활권 광역복지센터,6,세종특별자치시 한누리대로 2107,NULL,36.47929,127.292558,09:00~18:00,CV,대영채비,대영채비(주),1522-2573,2,2.02502E+13,2.02502E+13,2.02502E+13,NULL,NULL,NULL,NULL,36,36000,A0,A002,Y,NULL,N,NULL,N,NULL,YES,36.4793,127.293,0,0
1619234,ME23B129,1,2025-01-06 10:08,2025-01-06 10:28,NULL,1611615,세종시립도서관,6,세종특별자치시 고운동 2103,NULL,36.5104933,127.2397304,24시간 개방,ME,환경부,환경부,044-301-4316,2,2.02502E+13,2.02502E+13,2.02502E+13,NULL,NULL,100,단독,36,36110,I0,I005,Y,NULL,N,NULL,N,NULL,YES,36.5105,127.24,0,0
1619233,ME22D169,1,2025-01-06 8:48,2025-01-06 9:26,NULL,1611614,조치원지구대,4,세종특별자치시 조치원읍 새내로 140,NULL,36.6043732,127.2978962,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2.02502E+13,2.02502E+13,2.02502E+13,NULL,NULL,100,단독,36,36110,I0,I004,Y,NULL,N,NULL,N,NULL,YES,36.6044,127.298,0,0
1619232,ME21X009,1,2025-01-06 11:09,2025-01-06 11:24,NULL,1611613,정부세종청사,6,세종특별자치시 도움6로 11,NULL,36.5043275,127.2645699,09:00~18:00,ME,환경부,환경부,1661-9408,2,2.02502E+13,2.02501E+13,2.02501E+13,NULL,NULL,50,단독,36,36110,A0,A001,N,NULL,N,NULL,N,NULL,YES,36.5043,127.265,0,0
1619231,ME21C601,26,2025-01-05 11:18,2025-01-05 11:39,NULL,1611612,산림자원연구소,4,세종특별자치시 금남면 산림박물관길 110,NULL,36.4375191,127.2331101,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2.02502E+13,2.02502E+13,2.02502E+13,NULL,NULL,200,동시,36,36110,A0,A004,Y,NULL,N,NULL,N,NULL,YES,36.4375,127.233,0,0
1619230,ME21C601,21,2025-01-02 10:52,2025-01-02 11:08,NULL,1611611,산림자원연구소,4,세종특별자치시 금남면 산림박물관길 110,NULL,36.4375191,127.2331101,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2.02502E+13,2.02502E+13,2.02502E+13,NULL,NULL,200,동시,36,36110,A0,A004,Y,NULL,N,NULL,N,NULL,YES,36.4375,127.233,0,0
1619229,ME21C292,21,2025-01-06 10:03,2025-01-06 10:43,NULL,1611610,금암리마을회관주차장,4,세종특별자치시 장군면 정자말길 6,NULL,36.4382234,127.2205358,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2.02502E+13,2.02501E+13,2.02501E+13,NULL,NULL,200,동시,36,36110,A0,A004,Y,NULL,N,NULL,N,NULL,YES,36.4382,127.221,0,0
1619228,ME20B211,22,2025-01-05 16:48,2025-01-05 17:18,NULL,1611609,명학일반산업단지 관리사무소,4,세종특별자치시 연동면 응암리 916,NULL,36.5412012,127.3364791,24시간 이용가능,ME,환경부,환경부,1661-9408,3,2.02502E+13,2.02502E+13,2.02502E+13,2.02502E+13,NULL,200,동시,36,36110,B0,B001,Y,NULL,N,NULL,N,NULL,YES,36.5412,127.336,0,0
1619227,ME20B211,21,2025-01-05 5:47,2025-01-05 6:21,NULL,1611608,명학일반산업단지 관리사무소,4,세종특별자치시 연동면 응암리 916,NULL,36.5412012,127.3364791,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2.02502E+13,2.02502E+13,2.02502E+13,NULL,NULL,200,동시,36,36110,B0,B001,Y,NULL,N,NULL,N,NULL,YES,36.5412,127.336,0,0
1619226,ME20B113,1,2025-01-05 8:55,2025-01-05 9:35,NULL,1611607,명학일반산업단지 근린공원 주차장,4,세종특별자치시 연동면 내판리 713,NULL,36.5443208,127.3298195,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2.02502E+13,2.02502E+13,2.02502E+13,NULL,NULL,100,단독,36,36110,B0,B002,Y,NULL,N,NULL,N,NULL,YES,36.5443,127.33,0,0
1619225,ME19E510,1,2025-01-06 6:57,2025-01-06 7:01,NULL,1611606,정부세종청사 문화체육관광부,4,세종특별자치시 갈매로 388(어진동),NULL,36.49741,127.265079,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2.02502E+13,2.02502E+13,2.02502E+13,NULL,NULL,100,단독,36,36110,A0,A001,Y,NULL,N,NULL,N,NULL,YES,36.4974,127.265,0,0
1619224,ME19E508,1,2025-01-06 8:14,2025-01-06 8:54,NULL,1611605,정부세종청사 농림축산식품부/해양수산부,4,세종특별자치시 다솜2로 94(어진동),NULL,36.505377,127.26534,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2.02502E+13,2.02502E+13,2.02502E+13,NULL,NULL,100,단독,36,36110,A0,A001,Y,NULL,N,NULL,N,NULL,YES,36.5054,127.265,0,0
1619223,ME19B209,21,2025-01-06 9:53,2025-01-06 10:24,NULL,1611604,세종청사7동 법제처,4,세종특별자치시 도움5로 20,NULL,36.505509,127.258857,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2.02502E+13,2.02502E+13,2.02502E+13,NULL,NULL,200,동시,36,36110,A0,A001,Y,NULL,N,NULL,N,NULL,YES,36.5055,127.259,0,0
1619222,ME19B182,1,2025-01-02 17:29,2025-01-02 18:09,NULL,1611603,세종청사4동 기획재정부,4,세종특별자치시 갈매로 477,NULL,36.506093,127.265568,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2.02502E+13,2.02501E+13,2.02501E+13,NULL,NULL,100,단독,36,36110,A0,A001,Y,NULL,N,NULL,N,NULL,YES,36.5061,127.266,0,0
1619221,ME19B119,1,2025-01-05 11:24,2025-01-05 11:40,NULL,1611602,고복저수지 연기대첩비공원 주차장,4,세종특별자치시 연서면 용암리 208-5,NULL,36.599689,127.228287,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2.02502E+13,2.02502E+13,2.02502E+13,NULL,NULL,100,단독,36,36110,B0,B002,Y,NULL,N,NULL,N,NULL,YES,36.5997,127.228,0,0
1619220,ME19B118,11,2025-01-04 8:02,2025-01-04 8:31,NULL,1611600,한솔동 복합커뮤니티센터 정음관,4,세종특별자치시 한솔동 961,NULL,36.477651,127.255946,09:00 ~ 18:00,ME,환경부,환경부,1661-9408,2,2.02502E+13,2.02502E+13,2.02502E+13,NULL,NULL,100,동시,36,36110,A0,A004,Y,NULL,N,NULL,N,NULL,YES,36.4776,127.256,0,0
1619219,ME18A517,1,2025-01-06 8:26,2025-01-06 9:07,NULL,1611599,정부세종컨벤션센터,6,세종특별자치시 다솜 3로 66,NULL,36.501362,127.270445,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2.02502E+13,2.02501E+13,2.02501E+13,NULL,NULL,100,단독,36,36110,A0,A003,Y,NULL,N,NULL,N,NULL,YES,36.5014,127.27,0,0
1619218,ME18A516,1,2025-01-06 10:35,2025-01-06 11:18,NULL,1611598,세종정부청사 6동,6,세종특별자치시 도움6로 11,NULL,36.505094,127.262988,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2.02502E+13,2.02501E+13,2.02501E+13,NULL,NULL,100,단독,36,36110,A0,A003,Y,NULL,N,NULL,N,NULL,YES,36.5051,127.263,0,0
1619217,ME18A402,14,2025-01-04 20:43,2025-01-04 21:12,NULL,1611597,보람동 수변공원,4,세종특별자치시 보람동 624-1,NULL,36.481974,127.290825,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2.02502E+13,2.02501E+13,2.02501E+13,NULL,NULL,200,동시,36,36110,D0,D001,Y,NULL,N,NULL,N,NULL,YES,36.482,127.291,0,0
1619216,ME18A402,13,2025-01-06 5:24,2025-01-06 6:07,NULL,1611596,보람동 수변공원,4,세종특별자치시 보람동 624-1,NULL,36.481974,127.290825,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2.02502E+13,2.02502E+13,2.02502E+13,NULL,NULL,200,동시,36,36110,D0,D001,Y,NULL,N,NULL,N,NULL,YES,36.482,127.291,0,0
1619215,ME18A402,12,2025-01-04 13:27,2025-01-04 14:12,NULL,1611595,보람동 수변공원,4,세종특별자치시 보람동 624-1,NULL,36.481974,127.290825,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2.02502E+13,2.02502E+13,2.02502E+13,NULL,NULL,200,동시,36,36110,D0,D001,Y,NULL,N,NULL,N,NULL,YES,36.482,127.291,0,0
1619214,ME18A402,11,2025-01-05 21:31,2025-01-05 21:46,NULL,1611594,보람동 수변공원,4,세종특별자치시 보람동 624-1,NULL,36.481974,127.290825,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2.02502E+13,2.02502E+13,2.02502E+13,NULL,NULL,200,동시,36,36110,D0,D001,Y,NULL,N,NULL,N,NULL,YES,36.482,127.291,0,0
1619213,ME18A216,12,2025-01-06 8:52,2025-01-06 9:29,NULL,1611593,반곡동 수변공원,4,세종특별자치시 반곡동 234-10 ,NULL,36.492237,127.299546,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2.02502E+13,2.02502E+13,2.02502E+13,NULL,NULL,200,동시,36,36110,D0,D001,Y,NULL,N,NULL,N,NULL,YES,36.4922,127.3,0,0
1619212,ME18A216,11,2025-01-06 9:50,2025-01-06 10:33,NULL,1611592,반곡동 수변공원,4,세종특별자치시 반곡동 234-10 ,NULL,36.492237,127.299546,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2.02502E+13,2.02502E+13,2.02502E+13,NULL,NULL,200,동시,36,36110,D0,D001,Y,NULL,N,NULL,N,NULL,YES,36.4922,127.3,0,0
1619211,ME18A215,12,2025-01-05 22:17,2025-01-05 23:00,NULL,1611591,LH 세종본부,4,세종특별자치시 가름로 238-1,NULL,36.494692,127.26536,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2.02502E+13,2.02502E+13,2.02502E+13,NULL,NULL,200,동시,36,36110,H0,H003,Y,NULL,N,NULL,N,NULL,YES,36.4947,127.265,0,0
1619210,ME18A214,12,2025-01-06 9:06,2025-01-06 9:29,NULL,1611590,원수산 아래 BMX경기장,4,세종특별자치시 연기면 세종리 659-30,NULL,36.522604,127.267463,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2.02502E+13,2.02502E+13,2.02502E+13,NULL,NULL,200,동시,36,36110,J0,J007,Y,NULL,N,NULL,N,NULL,YES,36.5226,127.267,0,0
1619209,ME18A214,11,2025-01-06 9:27,2025-01-06 10:10,NULL,1611589,원수산 아래 BMX경기장,4,세종특별자치시 연기면 세종리 659-30,NULL,36.522604,127.267463,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2.02502E+13,2.02502E+13,2.02502E+13,NULL,NULL,200,동시,36,36110,J0,J007,Y,NULL,N,NULL,N,NULL,YES,36.5226,127.267,0,0
1619208,ME18A001,3,2025-01-06 8:35,2025-01-06 9:18,NULL,1611588,은하수공원,4,"세종특별자치시 연기면 정안세종로 1527 은하수공원, 화장시설 주차장",NULL,36.532123,127.245097,24시간 이용가능,ME,환경부,환경부,031-994-6115 ,2,2.02502E+13,2.02502E+13,2.02502E+13,NULL,NULL,100,동시,36,36110,A0,A004,Y,NULL,N,NULL,N,NULL,YES,36.5321,127.245,0,0
1619207,ME18A001,2,2025-01-05 16:07,2025-01-05 16:50,NULL,1611587,은하수공원,4,"세종특별자치시 연기면 정안세종로 1527 은하수공원, 화장시설 주차장",NULL,36.532123,127.245097,24시간 이용가능,ME,환경부,환경부,031-994-6115 ,2,2.02502E+13,2.02502E+13,2.02502E+13,NULL,NULL,100,동시,36,36110,A0,A004,Y,NULL,N,NULL,N,NULL,YES,36.5321,127.245,0,0
1619206,ME183162,2,2025-01-04 16:41,2025-01-04 17:24,NULL,1611586,세종호수공원제2주차장,4,"세종특별자치시 어진동 621, 입구 우측",NULL,36.5002765,127.2691866,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2.02502E+13,2.02502E+13,2.02502E+13,NULL,NULL,100,동시,36,36110,B0,B001,Y,NULL,N,NULL,N,NULL,YES,36.5003,127.269,0,0
1619205,ME183162,1,2025-01-04 20:10,2025-01-04 20:53,NULL,1611585,세종호수공원제2주차장,6,"세종특별자치시 어진동 621, 입구 우측",NULL,36.5002765,127.2691866,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2.02502E+13,2.02502E+13,2.02502E+13,NULL,NULL,50,단독,36,36110,B0,B001,Y,NULL,N,NULL,N,NULL,YES,36.5003,127.269,0,0
1610265,PW012061,3,2024-12-29 11:17,2024-12-29 16:18,NULL,1602427,가온마을12단지입주자대표회의-2,2,세종특별자치시 다정남로 123,NULL,36.49287838,127.2548443,24시간 이용가능,PW,파워큐브,파워큐브,1833-8017,2,2.02501E+13,2.02412E+13,2.02412E+13,NULL,NULL,NULL,NULL,36,36000,H0,H001,Y,NULL,Y,거주자외 출입제한,N,NULL,YES,36.4929,127.255,0,0
1610264,PI772245,8,2024-12-31 17:22,2024-12-31 17:22,NULL,1602426,세종한뜰마을4단지아파트,2,세종특별자치시 다솜1로 9,NULL,36.5008638,127.2555329,24시간 이용가능,PI,GS차지비,GS차지비,1544-4279,3,2.02501E+13,2.02501E+13,2.02501E+13,2.02501E+13,NULL,7,단독,36,36110,H0,H001,N,NULL,Y,입주민 전용,N,NULL,YES,36.5009,127.256,0,0
1610263,PI701034,10,2024-12-31 17:52,2024-12-31 17:52,NULL,1602425,세종호려울마을9단지,2,세종특별자치시 남세종로 384,NULL,36.4802203,127.2969248,24시간 이용가능,PI,GS차지비,GS차지비,1600-4047,3,2.02412E+13,2.02412E+13,2.02412E+13,2.02412E+13,NULL,7,단독,36,36110,H0,H001,Y,NULL,Y,입주민 전용,N,NULL,YES,36.4802,127.297,0,0
1610262,MO361101,2,2024-12-31 17:56,2024-12-31 17:56,NULL,1602424,수루배마을1단지,2,세종특별자치시 반곡로 14,NULL,36.498532,127.3078514,24시간 이용가능,MO,매니지온,매니지온,1833-2377,2,2.02501E+13,2.02501E+13,2.02501E+13,NULL,NULL,7,단독,36,36110,H0,H001,Y,NULL,Y,거주자외 출입제한,N,NULL,YES,36.4985,127.308,0,0
1610261,LU003110,3,2024-12-31 12:00,2024-12-31 17:51,NULL,1602423,세종스파찜질방,2,세종특별자치시 장군면 봉안길 70,NULL,36.498243,127.223202,24시간 이용가능,LU,LG유플러스 볼트업,LG유플러스 볼트업,1660-0365,2,2.02412E+13,2.02412E+13,2.02412E+13,NULL,NULL,7,단독,36,36110,G0,G004,Y,NULL,N,NULL,N,NULL,YES,36.4982,127.223,0,0
1610260,LI000119,2,2024-12-31 17:56,2024-12-31 17:56,NULL,1602422,세종스카이 드림,4,세종특별자치시 해밀3로 43,NULL,35.24380883,128.5871372,09:00~18:00,LI,엘에스이링크,엘에스이링크,1660-3175,2,2.02412E+13,2.02412E+13,2.02412E+13,NULL,NULL,7,단독,36,36110,E0,E001,Y,NULL,N,NULL,N,NULL,YES,35.2438,128.587,0,0
1610259,KP005693,3,2024-12-31 15:50,2024-12-31 17:51,NULL,1602421,세종통합사옥 업무용 전기차 충전소,2,세종특별자치시 법원로 18,NULL,36.48,127.3,평일 09:00~18:00,KP,한국전력공사,한국전력,1899-2100,2,2.02412E+13,2.02412E+13,2.02412E+13,NULL,NULL,7,단독,36,36110,A0,A003,Y,NULL,Y,업무용,N,NULL,YES,36.48,127.3,0,0
1610258,KP002905,2,2024-12-31 15:16,2024-12-31 17:51,NULL,1602420,세종더샵레이크파크아파트,2,세종특별자치시 어진동 613,NULL,36.50526953,127.2734494,NULL,KP,한국전력공사,한국전력,NULL,2,2.02501E+13,2.02412E+13,2.02501E+13,NULL,NULL,NULL,NULL,36,36110,H0,H001,Y,NULL,Y,시설 상황에 따라 이용이 제한될 수 있음,N,NULL,YES,36.5053,127.273,0,0
1610257,JA360002,5,2024-12-31 15:14,2024-12-31 17:56,NULL,1602419,홈플러스 조치원점,4,세종특별자치시 조치원읍 허만석로 60,NULL,36.58618683,127.297516,10:00 ~ 22:00,JA,이브이시스,이브이시스,1577-1556,2,2.02412E+13,2.02412E+13,2.02412E+13,NULL,NULL,30,단독,36,36110,E0,E001,N,NULL,N,NULL,N,NULL,YES,36.5862,127.298,0,0
1610256,HW001073,12,2024-12-31 17:25,2024-12-31 17:55,NULL,1602418,세종 누리동 공영버스 차고지,13,세종특별자치시 갈매로 1008,NULL,36.5269156,127.2969391,00:00 ~ 23:59,HW,한화솔루션,한화솔루션,1533-3464,2,2.02501E+13,2.02412E+13,2.02412E+13,NULL,NULL,120,동시,36,36110,H0,H001,N,NULL,Y,입주민 전용,N,NULL,YES,36.5269,127.297,0,0
1610255,HM000902,6,2024-12-31 12:39,2024-12-31 15:46,NULL,1602417,정부세종청사 16동,2,세종특별자치시 국세청로 8-14,NULL,36.48507981,127.2603063,24시간 이용가능,HM,휴맥스이브이,휴맥스이브이,1800-3188,2,2.02412E+13,2.02412E+13,2.02412E+13,NULL,NULL,7,단독,36,36110,A0,A002,Y,NULL,Y,보안구역으로 출입이 제한됨,N,NULL,YES,36.4851,127.26,0,0
1610254,HM000899,2,2024-12-31 8:25,2024-12-31 10:52,NULL,1602416,정부세종청사 6동,2,세종특별자치시 도움6로 11,NULL,36.50441001,127.2625796,24시간 이용가능,HM,휴맥스이브이,휴맥스이브이,1800-3188,2,2.02412E+13,2.02412E+13,2.02412E+13,NULL,NULL,7,단독,36,36110,A0,A003,N,NULL,Y,보안구역으로 출입이 제한됨,N,NULL,YES,36.5044,127.263,0,0
1610253,CV000997,3,2024-12-31 17:14,2024-12-31 17:52,NULL,1602415,세종세무서,2,세종특별자치시 시청대로 126,NULL,36.47842449,127.2854645,09:00~18:00,CV,대영채비,대영채비(주),1522-2573,2,2.02501E+13,2.02412E+13,2.02412E+13,NULL,NULL,7,단독,36,36110,A0,A003,Y,NULL,Y,시설 상황에 따라 이용이 제한될 수 있음,N,NULL,YES,36.4784,127.285,0,0
1610252,ME23B129,1,2024-12-31 16:29,2024-12-31 16:41,NULL,1602414,세종시립도서관,6,세종특별자치시 고운동 2103,NULL,36.5104933,127.2397304,24시간 개방,ME,환경부,환경부,044-301-4316,2,2.02501E+13,2.02412E+13,2.02412E+13,NULL,NULL,100,단독,36,36110,I0,I005,Y,NULL,N,NULL,N,NULL,YES,36.5105,127.24,0,0
1610251,ME20B211,22,2024-12-31 17:12,2024-12-31 17:33,NULL,1602413,명학일반산업단지 관리사무소,4,세종특별자치시 연동면 응암리 916,NULL,36.5412012,127.3364791,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2.02501E+13,2.02412E+13,2.02412E+13,NULL,NULL,200,동시,36,36110,B0,B001,Y,NULL,N,NULL,N,NULL,YES,36.5412,127.336,0,0
1610250,ME18A514,1,2024-12-31 16:57,2024-12-31 17:38,NULL,1602412,새롬동 복합커뮤니티 센터,6,세종특별자치시 새롬동 341-72,NULL,36.485399,127.251677,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2.02501E+13,2.02501E+13,2.02501E+13,NULL,NULL,100,단독,36,36110,A0,A002,Y,NULL,N,NULL,N,NULL,YES,36.4854,127.252,0,0
1610249,ME18A402,13,2024-12-31 17:24,2024-12-31 17:29,NULL,1602411,보람동 수변공원,4,세종특별자치시 보람동 624-1,NULL,36.481974,127.290825,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2.02501E+13,2.02412E+13,2.02412E+13,NULL,NULL,200,동시,36,36110,D0,D001,Y,NULL,N,NULL,N,NULL,YES,36.482,127.291,0,0
1610248,ME18A216,12,2024-12-31 17:28,2024-12-31 17:33,NULL,1602410,반곡동 수변공원,4,세종특별자치시 반곡동 234-10 ,NULL,36.492237,127.299546,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2.02501E+13,2.02412E+13,2.02412E+13,NULL,NULL,200,동시,36,36110,D0,D001,Y,NULL,N,NULL,N,NULL,YES,36.4922,127.3,0,0
1610247,ME18A214,12,2024-12-31 16:31,2024-12-31 17:01,NULL,1602409,원수산 아래 BMX경기장,4,세종특별자치시 연기면 세종리 659-30,NULL,36.522604,127.267463,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2.02501E+13,2.02501E+13,2.02501E+13,NULL,NULL,200,동시,36,36110,J0,J007,Y,NULL,N,NULL,N,NULL,YES,36.5226,127.267,0,0
